,Title,Year Published,Min Players,Max Players,Best Players,Play Time,Age,Complexity,Designers,Artists,Publishers,Categories,Mechanisms
12825,UNO Dice Game,(2011),2,2,2,"[15, 15]",7,1.00,[],[],[Mattel],"[Abstract Strategy, Dice]",[Dice Rolling]
12826,Curse of the Mummy's Tomb,(1988),1,4,3–4,"[120, 120]",12,1.91,[Stephen Hand],"[Dave Andrews, Gary Chalk, Trish Morrison, Aly Morrison, James Warhola]","[Games Workshop Ltd., Sfera]","[Adventure, Ancient, Horror]",[Action / Movement Programming]
12827,Monopoly: Star Wars Saga Edition,(2005),2,8,3,"[60, 120]",8,1.80,[Will Creech],[],"[Hasbro, Parker Brothers]","[Economic, Movies / TV / Radio theme, Negotiation, Science Fiction]","[Auction/Bidding, Roll / Spin and Move, Set Collection, Trading]"
12828,Blast-Off!,(1969),1,4,none,"[240, 240]",12,1.36,[(Uncredited)],[],"[Juegos Crone, Waddington's Games, Inc.]","[Racing, Science Fiction]",[]
12829,Der Herr der Ringe: Die Gefährten,(2001),3,4,4,"[60, 60]",10,1.50,[J. R. R. Hering],[Bernd Wagenfeld],[KOSMOS],"[Fantasy, Movies / TV / Radio theme]",[Roll / Spin and Move]
12830,Scene It? Harry Potter,(2005),2,4,3–4,"[60, 60]",8,1.60,"[Craig Kinzer, Dave Long (I)]",[],"[Mattel, Screenlife, LLC]","[Children's Game, Electronic, Fantasy, Movies / TV / Radio theme, Novel-based, Party Game, Trivia]",[Roll / Spin and Move]
12831,Kill the Hippies,(2007),2,6,none,"[20, 20]",18,1.23,[Elegwen O'Maoileoin],"[Brad Morris, Tristan Noone]",[Golden Laurel Entertainment],"[Card Game, Humor, Mature / Adult, Memory, Party Game, Religious]","[Acting, Hand Management, Memory, Singing]"
12832,Solomon's Temple,(2001),2,2,none,"[60, 60]",7,1.25,[Doug Gray],[],"[Cactus Game Design, Talicor]","[Ancient, Civilization, Fighting, Religious, Territory Building]","[Hand Management, Roll / Spin and Move, Set Collection]"
12833,The Sneaky Snacky Squirrel Game,(2011),2,4,3–4,"[15, 15]",3,1.06,[Riley Wilkinson],[Lucia Gaggiotti],"[Educational Insights, Game Factory]","[Animals, Children's Game, Educational]",[]
12834,Fußball-Bundesliga: Das große Geschäft,(1987),2,4,none,"[45, 45]",8,1.29,"[(Uncredited), Peter J. Schneider, Manfred Zindel]",[],[Klee],[Sports],"[Dice Rolling, Simulation, Stock Holding]"
12835,Trivial Pursuit: The 1980's,(1989),2,6,6+,"[90, 90]",16,1.87,[(Uncredited)],[],[Parker Brothers],"[Party Game, Trivia]",[Roll / Spin and Move]
12836,Bowl and Score,(1962),1,8,none,"[15, 15]",8,1.00,[(Uncredited)],[],"[Crisloid, E.S. Lowe, Jumbo, Milton Bradley]","[Dice, Sports]",[Dice Rolling]
